year,month,author,additions,deletions
2016,6,Mike Bostock,5,5
2016,6,Mike Bostock,7,7
2016,6,Mike Bostock,11,1
2016,6,Mike Bostock,17,2
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,64,38
2016,6,Mike Bostock,76,8
2016,6,Mike Bostock,17,0
2016,6,Mike Bostock,2,5
2016,6,Mike Bostock,7,11
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,51,3
2016,6,Mike Bostock,0,0
2016,6,Mike Bostock,1,3
2016,6,Mike Bostock,1,5
2016,6,Mike Bostock,26,5
2016,6,Mike Bostock,6,4
2016,6,Mike Bostock,5,5
2016,6,Mike Bostock,3,1
2016,6,Mike Bostock,5,5
2016,6,Mike Bostock,18,2
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,9,6
2016,6,Mike Bostock,9,9
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,2,0
2016,6,Mike Bostock,7,1
2016,6,Mike Bostock,4,4
2016,6,Mike Bostock,27,1
2016,6,Mike Bostock,24,3
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,88,66
2016,6,Mike Bostock,15,15
2016,6,Mike Bostock,2,2
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,147,147
2016,6,Mike Bostock,5,5
2016,6,Mike Bostock,222,0
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,1,1
2016,6,Mike Bostock,0,1
2016,6,Mike Bostock,111,149
2016,5,Mike Bostock,27,26
2016,5,Mike Bostock,3,3
2016,5,Mike Bostock,47,1
2016,5,Mike Bostock,3,1
2016,5,Mike Bostock,3,3
2016,5,Mike Bostock,8,5
2016,5,Mike Bostock,57,25
2016,5,Mike Bostock,28,26
2016,5,Mike Bostock,1,1
2016,5,Mike Bostock,1,1
2016,5,Mike Bostock,4,3
2016,5,Mike Bostock,1,1
2016,5,Mike Bostock,1,1
2016,5,Mike Bostock,3,5
2016,5,Mike Bostock,1622,49840
2016,5,Mike Bostock,1,1
2016,5,Mike Bostock,3,3
2016,5,Mike Bostock,3,3
2016,5,Mike Bostock,7,2
2016,5,Mike Bostock,25,4
2016,5,Mike Bostock,9,9
2016,5,Mike Bostock,1,1
2016,5,Mike Bostock,1,1
2016,5,Mike Bostock,1,1
2016,5,Mike Bostock,1,1
2016,5,Mike Bostock,7,7
2016,5,Mike Bostock,6,1
2016,5,Mike Bostock,5,5
2016,4,Mike Bostock,3,3
2016,4,Mike Bostock,12,9
2016,4,Mike Bostock,3,3
2016,4,Mike Bostock,1,0
2016,4,Mike Bostock,66,12
2016,4,Mike Bostock,1,1
2016,4,Mike Bostock,2,2
2016,4,Mike Bostock,4,0
2016,4,Mike Bostock,123,3
2016,4,Minwei Xu,6,6
2016,4,Minwei Xu,122,2
2016,4,Mike Bostock,81,2
2016,3,Lukas Appelhans,1,1
2016,3,Mike Bostock,1,1
2016,3,Mike Bostock,1,2
2016,3,Mike Bostock,56,12
2016,3,Mike Bostock,26,24
2016,3,Mike Bostock,3,3
2016,3,Mike Bostock,1,1
2016,3,Mike Bostock,4,4
2016,3,Mike Bostock,2,2
2016,3,Mike Bostock,4,4
2016,3,Mike Bostock,3,3
2016,3,Mike Bostock,1,0
2016,3,Mike Bostock,2,0
2016,3,Mike Bostock,3,1
2016,3,Mike Bostock,1,1
2016,3,Mike Bostock,5,6
2016,2,Mike Bostock,1,1
2016,2,Mike Bostock,1,1
2016,2,Mike Bostock,0,1
2016,2,Mike Bostock,5,6
2016,2,Mike Bostock,3,3
2016,2,Mike Bostock,9,7
2016,2,Mike Bostock,2,2
2016,2,Mike Bostock,4,4
2016,2,Mike Bostock,1,1
2016,2,Mike Bostock,3,3
2016,2,Mike Bostock,4,4
2016,2,Mike Bostock,2,2
2016,2,Mike Bostock,3,3
2016,2,Mike Bostock,1,1
2016,2,Mike Bostock,8,8
2016,2,Mike Bostock,2,2
2016,2,Mike Bostock,18,15
2016,2,Mike Bostock,1,18
2016,2,Mike Bostock,0,19
2016,2,Mike Bostock,1,29
2016,2,Mike Bostock,10,7
2016,2,Mike Bostock,3,3
2016,2,Mike Bostock,1,1
2016,2,Mike Bostock,1,1
2016,2,Mike Bostock,2,1
2016,2,Mike Bostock,2,0
2016,2,Mike Bostock,6,48
2016,2,Mike Bostock,17,17
2016,2,Mike Bostock,1,1
2016,2,Mike Bostock,1,1
2016,2,Mike Bostock,1,1
2016,2,Mike Bostock,1,1
2016,2,Mike Bostock,3,3
2016,2,Mike Bostock,2,2
2016,2,Mike Bostock,3,1
2016,2,Mike Bostock,6,7
2016,2,Mike Bostock,2,2
2016,2,Mike Bostock,3,3
2016,2,Mike Bostock,8,2
2016,2,Mike Bostock,26,12
2016,2,Mike Bostock,2,2
2016,2,Mike Bostock,16,10
2016,2,Mike Bostock,11,4
2016,2,Mike Bostock,1,1
2016,2,Mike Bostock,1,0
2016,2,Mike Bostock,27,1
2016,2,Mike Bostock,2,2
2016,2,Mike Bostock,10,5
2016,2,Mike Bostock,1,0
2016,2,Mike Bostock,6,5
2016,2,Mike Bostock,14,14
2016,2,Mike Bostock,9,7
2016,1,Mike Bostock,1,1
2016,1,Mike Bostock,24,25
2016,1,Mike Bostock,2,1
2016,1,Mike Bostock,2,2
2016,1,Mike Bostock,5,3
2016,1,Mike Bostock,4,4
2016,1,Mike Bostock,43,12
2016,1,Mike Bostock,18,2
2016,1,Mike Bostock,3,3
2016,1,Mike Bostock,3,3
2016,1,Mike Bostock,6,6
2016,1,Mike Bostock,2,2
2016,1,Mike Bostock,1,1
2016,1,Mike Bostock,4,4
2016,1,Mike Bostock,3,3
2016,1,Mike Bostock,4,4
2016,1,Mike Bostock,16,1
2016,1,Mike Bostock,17,17
2016,1,Mike Bostock,3,0
2016,1,Mike Bostock,1,1
2016,1,Mike Bostock,1,1
2016,1,Mike Bostock,4,2
2016,1,Mike Bostock,1,1
2016,1,Fernando Lores,1,1
2016,1,Mike Bostock,1,0
2016,1,Mike Bostock,12,1
2016,1,Mike Bostock,12,0
2016,1,Mike Bostock,20,0
2016,1,Mike Bostock,3,3
2016,1,Mike Bostock,9,11
2016,1,Mike Bostock,32,1
2016,1,Mike Bostock,3,3
2016,1,Mike Bostock,39,3
2016,1,Mike Bostock,193,191
2016,1,Mike Bostock,3,3
2016,1,Mike Bostock,10,7
2016,1,Mike Bostock,34,34
2016,1,Mike Bostock,128,129
